id,题型,风险,解析重合度,题干,选项,原答案,现答案(参考库),确认答案(待填),参考库解析
1182,multiple,★高风险(解析串台),0.0,地下工程施工区域应设置 （　　） 。,A.消防给水管道 / B.消防水箱 / C.消防水池 / D.灭火栓 / E.稳压泵,ACD,AD,,地下室工程施工区域应设置消防给水管道和消火栓，消防给水管道可以与施工用水管道合用。特殊地下工程不能设置消防用水时，应配备足够数量的轻便消防器材。
1184,multiple,★高风险(解析串台),0.0,下列关于锅炉房应符合的要求包括 （　　） 。,A.锅炉房的门应向外开启 / B.锅炉正面与墙的距离不小于1m / C.锅炉正面与墙的距离不小于2m / D.锅炉与锅炉的距离不小于1m / E.锅炉与锅炉之间的距离不小于2m,ABD,AD,,锅炉房的门应向外开启，锅炉正面与墙的距离应不小于3m，锅炉与锅炉之间应保持不小于1m 的距离。
1186,multiple,★高风险(解析串台),0.0,冬季施工的防火要求中，对司炉工的要求包括 （　　） 等内容。,A.严格值班检查制度 / B.工作时间决不允许离开工作岗位 / C.炉灰倒在指定地点 / D.禁止使用易燃液体点火 / E.下班时须做好交接班，并记录锅炉运行情况,ABCDE,ACDE,,(7)严格值班检查制度。锅炉开着火以后，司炉人员不准离开工作岗位，值班时间绝不允许睡觉或做无关的事。 (8)司炉人员下班时，须向下一班作好交接班，并记录锅炉运行情况。 (9)炉灰倒在指定地点(不能带余火倒灰)，随时观察水温及水位，禁止使用易燃、可燃液体点火。 选项B：司炉工不得随便离开工作岗位，如果要离开时，应有合格司炉工代替。
1192,multiple,★高风险(解析串台),0.0,某地块施工现场，施工人员杜某在四楼楼面清理浇筑混凝土的钢筋笼时，不慎坠落。该事故由于临边防护设置不当导致人员从护栏空档处坠落，关于临边防护的要求说法正确的是 （　　） 。,A.高处作业时，防护栏杆要采用密目式安全立网或工具式栏板封闭 / B.当防护栏杆高度大于1.5m时，应增设横杆，横杆间距不应大于600mm / C.防护栏杆立杆底端当在土体上固定时，应采用预埋或打入方式固定 / D.防护栏杆立杆间距不应大于2m / E.施工的楼梯口、楼梯平台和梯段边，应安装防护栏杆；外设楼梯口、楼梯平台和梯段边还应采用密目式安全立网封闭,ACD,CDE,,防护栏杆应张挂密目式安全立网或其他材料封闭。 当防护栏杆高度大于1.2m时，应增设横杆，横杆间距不应大于600mm；
1195,multiple,★高风险(解析串台),0.0,某项目在吊运作业中，工人钟某强行越过警戒线，信号工郭某拉拽劝阻无果，钢丝绳突然断裂，方钢滑脱坠地，反弹后导致钟某当场死亡。起重机械作业时，应在作业区域周围设置明显的 （　　） ，禁止无关人员进入。,A.警戒线 / B.警戒标志 / C.警戒栏杆 / D.警戒围墙 / E.负责人,AB,ABC,,
1228,judge,★高风险(解析串台),0.0,新修订《安全生产法》加大了对中介服务机构失信行为的惩戒力度。增加“对违法行为情节严重的直接责任人员，吊销其相应资格和资质，十年内不得从事相关工作”。,A.正确 / B.错误,A,B,,
1285,judge,★高风险(解析串台),0.0,建筑施工企业在12个月内第二次发生生产安全事故的，发生较大事故的，暂扣时限为在上一次暂扣时限的基础上再增加30日。,A.正确 / B.错误,A,B,,
1329,judge,★高风险(解析串台),0.0,根据《建筑施工安全生产标准化考评暂行办法》规定，项目完工办理竣工验收后，建筑施工企业应当向项目考评主体提交项目安全生产标准化自评材料。,A.正确 / B.错误,A,B,,
1337,judge,★高风险(解析串台),0.0,《建筑施工安全生产标准化考评暂行办法》明确，企业近三年所承建的项目发生一般生产安全责任事故的，企业安全生产标准化评定为不合格。,A.正确 / B.错误,A,B,,
1364,judge,★高风险(解析串台),0.0,进入密闭空间作业，应严格执行作业审批制度和“先检测、再通风、后作业”的规定。,A.正确 / B.错误,A,B,,
1407,judge,★高风险(解析串台),0.0,建立现代化消防监管模式，单位应当采用电气火灾监控技术，提升对电器产品及其线路运行状态的监测、预警和处置能力。,A.正确 / B.错误,A,B,,
1483,judge,★高风险(解析串台),0.0,《标准化法》规定，对满足基础通用、与强制性国家标准配套、对各有关行业起引领作用等需要的技术要求，可以制定为行业标准。,A.正确 / B.错误,A,B,,
1503,judge,★高风险(解析串台),0.0,鉴于工程建设中各工种调动频繁、用工流动性大，投保实行不记名和不计人数的这种方式属于工伤保险的投保。,A.正确 / B.错误,B,A,,
1525,judge,★高风险(解析串台),0.0,绿色施工基于可持续发展思想，以提高经济效益、减员增效和保护环境为典型特征，是对传统施工模式的创新。,A.正确 / B.错误,B,A,,
1591,judge,★高风险(解析串台),0.0,支护结构整体失稳的原因是基坑底部和墙体外面大量的泥沙随地下水涌入基坑，导致坑外地面塌陷。,A.正确 / B.错误,B,A,,
1645,judge,★高风险(解析串台),0.0,承插型盘扣式支架，当搭设高度超过8m的满堂模板支架时，竖向斜杆应满布设置，水平杆的步距不得大于2.5m。,A.正确 / B.错误,A,B,,
1678,judge,★高风险(解析串台),0.0,钢结构安装工程中的安全爬梯的承载必须经过结构计算。,A.正确 / B.错误,A,B,,安全爬梯的承载必须经过安全计算。
1725,judge,★高风险(解析串台),0.0,幕墙玻璃采用镀膜玻璃时，镀膜的一面应向室内。,A.正确 / B.错误,B,A,,
1735,judge,★高风险(解析串台),0.0,石材幕墙嵌胶封缝时，选用的泡沫塑料圆条直径应大于缝宽。,A.正确 / B.错误,B,A,,
1858,judge,★高风险(解析串台),0.0,6x37钢丝绳其断丝数在一个节距内超过18丝应报废。,A.正确 / B.错误,A,B,,22丝
1865,judge,★高风险(解析串台),0.0,高空作业车的专用车用途特征代号是HK。,A.正确 / B.错误,A,B,,用途特征代号。GK表示高空。
1929,judge,★高风险(解析串台),0.0,临时用电的配电采用一总路、二分路形式。,A.正确 / B.错误,B,A,,
1997,judge,★高风险(解析串台),0.0,消防给水管道可以与施工用水管道合用。,A.正确 / B.错误,A,B,,
796,single,★高风险(解析串台),0.05,某施工现场吊装作业过程中，在前后分别吊装2个配电箱时，放置2号配电箱时压到1号配电箱所垫的槽钢，致使1号配电箱失稳倾倒，压到突然返回作业现场的程某。在吊装作业过程中， （　　） 前，必须对吊运物进行前的安全状态确认，无误后方可继续。,A.吊装 / B.松钩 / C.抓取 / D.绑扎,B,A,,根据《起重机械安全规程》（GB 6067.1），起吊前必须对吊运物的捆绑状态、吊具连接、作业环境（如周边物件稳定性）等进行全面确认，确保起吊过程中无碰撞、倾倒风险。本例中，若在起吊 2 号配电箱前确认其放置位置与 1 号箱的安全距离，可避免事故发生。
1167,multiple,★高风险(解析串台),0.06,根据“四不放过”原则，在火灾事故发生后，施工单位和建设单位应共同做好现场保护和会同消防部门进行现场勘察的工作，以下属于“四不放过”原则的是 （　　） 。,A.事故原因分析不清不放过 / B.事故责任者和群众没受到教育不放过 / C.事故隐患不整改不放过 / D.事故责任者未受到处理不放过 / E.事故未调查处理不放过,ABD,ABCD,,"安全生产的“四不放过”原则是：原因未查明不放过、责任人未处理不放过、有关人员未受到教育不放过、整改措施未落实不放过""。"
28,single,★高风险(解析串台),0.08,根据《建设工程安全生产管理条例》规定，下列选项中，需要编制专项施工方案，但不需要进行专家论证、审查的是 （　　） 。,A.开挖深度超过15m未超过20m的基坑支护工程 / B.开挖深度超过10m未超过15m的基坑支护工程 / C.开挖深度超过5m未超过10m的基坑支护工程 / D.开挖深度超过3m未超过5m的基坑支护工程,C,D,,需要进行专家论证、审查的是：深基坑工程开挖深度超过5m (含 5m) 的基坑(槽)的土方开挖、支护、降水工程或开挖深度虽未超过 5m ，但地质条件、周围环境和地下管线复杂，或影响毗邻建筑(构筑)物安全的基坑(槽)的土方开挖、支护、降水工程。
297,single,★高风险(解析串台),0.08,本市规定，为降低建设工地的噪声污染，制定了建设工地施工分贝控制值，即晚21时至23时限 （　　） 分贝。,A.60 / B.65 / C.70 / D.75,B,C,,日间标准（70分贝）
1117,multiple,★高风险(解析串台),0.09,根据现行行业标准《建筑施工安全检查标准》JGJ59规定，施工用电一般项目的检查评定包括 （　　） 等内容。,A.配电室建筑耐火等级应不低于3级并配备合格的消防器材 / B.配电室的布设应符合规范 / C.配电装置的电器元件设置应符合规范 / D.配电箱应设置警示标志 / E.备用发电机组必须与外电线路连锁,BCD,ABCDE,,"施工用电,5 配电室与配电装置 1）配电室建筑耐火等级不低于3级并配备合格的消防器材； 2）配电室、配电装置的布设应符合规范； 3）配电装置中的仪表、电器元件设置应符合规范； 4）备用发电机组必须与外电线路进行连锁； 5）配电室应设置警示标志、工地平面图和系统图 。"
1132,multiple,★高风险(解析串台),0.09,根据现行行业标准《建筑施工安全检查标准》JGJ59规定，施工用电一保证项目的检查评定包括 （　　） 等内容。,A.线路及接头应保证机械强度和绝缘强度 / B.线路应设短过载保护 / C.导线应满足线路负荷电流 / D.线路架设应符合规范 / E.线路埋设应符合规范,ABCDE,ABDE,,施工用电保证项目的检查评定应符合下列规定： 配电线路 1)线路及接头应保证机械强度和绝缘强度; 2线路应设短路、过载保护，导线截面应满足线路负荷电流; 3)线路架设或埋设应符合规范。
233,single,★高风险(解析串台),0.1,根据《上海市建筑市场信用信息管理办法》规定，下列选项中 （　　） 不属于各方主体的信用信息。,A.基本信息 / B.优良信息 / C.良好信息 / D.不良信息,C,B,,第二条（定义） 本管理办法所称建筑市场信用信息，是指各方主体在建筑市场活动中产生的，可用以识别、分析、判断主体守法、履约状况的客观数据和资料。各方主体的信用信息分为基本信息、良好信用信息、不良信用信息。
726,single,★高风险(解析串台),0.11,施工现场应有防止扬尘措施。道路管线工程实施一体化施工的，每 （　　） 应做到工完场清。,A.日 / B.周 / C.旬 / D.期,D,A,,"建筑垃圾应集中、分类堆放,及时清运。道路管线工程施工,应每日做到工完场清。"
1009,multiple,★高风险(解析串台),0.11,建筑倾斜观测，当被测建筑具有明显的外部特征点和宽敞的观测场地时，宜选用 （　　） 。,A.前方交汇法 / B.极坐标法 / C.视准线法 / D.小角度法 / E.投点法,ACDE,AE,,当被测建筑物具有明显的外部特征点和宽敞的观测场地时，宜选用投点法、测水平角法或前方交会法。
1065,multiple,★高风险(解析串台),0.11,人造板材幕墙专项要求，以下 （　　） 面板与幕墙构件的连接可以采用通长挂件连接。,A.瓷板 / B.微晶玻璃板 / C.陶板 / D.纤维水泥板 / E.石材蜂窝板,ABCE,ABCD,,人造板材幕墙面板的连接方式： （1）瓷板、微晶玻璃板宜采用短挂件连接、通长挂件连接和背栓连接； （2）陶板宜采用短挂件连接，也可采用通长挂件连接； （3）纤维水泥板宜采用穿透支承连接或背栓支承连接，也可采用通长挂件连接； （4）石材蜂窝板宜通过板材背面预置螺母连接； （5）木纤维板宜采用末端形式为刮削式（SC）的螺钉连接或背栓连接，也可采用穿透连接。
628,single,中,0.17,有限空间应急救援预案 （　　） 至少进行1次应急培训与演练。,A.每两年 / B.每年 / C.每季度 / D.每半年,D,B,,"有限空间作业事故专项应急预案应每年至少组织1次演练,现场处置方案应至少每半年组织1次演练。"
821,multiple,中,0.17,安全生产许可和生产许可的主要区别体现在 （　　） 不同。,A.适用对象 / B.许可目的 / C.适用的法律 / D.审批的部门 / E.适用的行业,ABC,ABCD,,生产许可证，是针对“产品”的结果，对可能造成公共安全影响的产品的生产（担心产品对社会造成危害），实行许可证制度。比如米面、食用油、通信设备，劳动保障产品、爆炸物等等。审批部门一般是质量技术监督局，或其它主管工业的部门； 安全生产许可证，是针对“生产”的过程，对可能在生产制造过程中产生安全影响的制造（担心生产过程产生社会危害），实行许可证制度。比如采矿、危险化学物品、烟花鞭炮等等。审批部门一般是安监局。建设项目可能是建设部门审批。
1033,multiple,中,0.17,在建(构)筑物的转角处，门式作业脚手架内外两侧立杆上应按步设置 （　　） ，应将转角处的两榀门架连成一体。,A.水平架 / B.水平连接杆 / C.水平斜撑杆 / D.连墙件 / E.水平加固杆,CE,BC,,"在建筑物的转角处,门式脚手架内、外两侧立杆上应按步设置水平连接杆、斜撑杆,将转角处的两榀门架连成一体。"
134,single,中,0.18,根据《上海市危险性较大的分部分项工程专家论证管理办法》，危险性较大的分部分项工程专项施工方案论证报告应在论证后的 （　　） 个工作日内反馈给施工企业。,A.5 / B.7 / C.10 / D.15,B,A,,第十八条(论证报告要求)论证报告应符合下列要求: （一）论证报告结论应明确为“可行”或“不可行”； （二）论证报告意见应分为整改类和建议类。整改类意见必须执行。当结论明确为可行的，整改类意见修改完成，经企业审批后，必须反馈论证机构或论证组组长备案； （三）论证报告中对方案提出的意见应明确理由以及修改要求； （四）论证报告填写应规范，不得任意涂改； （五）论证报告应由所有参与论证的专家签名，每个论证专家的论证意见应附后；由论证机构组织的，论证机构还应加盖论证机构公章。 （六）论证报告应在论证后的 5 个工作日内反馈给施工企业。
831,multiple,中,0.18,某施工单位申领建筑施工企业安全生产许可证时，根据我国《建筑施工企业安全生产许可证管理规定》，应具备经建设行政主管或其他有关部门考核合格的人员包括 （　　） 。,A.应急救援人员 / B.单位主要负责人 / C.从业人员 / D.专职安全生产管理人员 / E.特种作业人员,BD,BDE,,第四条 建筑施工企业取得安全生产许可证，应当具备下列安全生产条件： （一）建立、健全安全生产责任制，制定完备的安全生产规章制度和操作规程； （二）保证本单位安全生产条件所需资金的投入； （三）设置安全生产管理机构，按照国家有关规定配备专职安全生产管理人员； （四）主要负责人、项目负责人、专职安全生产管理人员经建设主管部门或者其他有关部门考核合格； （五）特种作业人员经有关业务主管部门考核合格，取得特种作业操作资格证书； （六）管理人员和作业人员每年至少进行一次安全生产教育培训并考核合格； （七）依法参加工伤保险，依法为施工现场从事危险作业的人员办理意外伤害保险，为从业人员交纳保险费； （八）施工现场的办公、生活区及作业场所和安全防护用具、机械设备、施工机具及配件符合有关安全生产法律、法规、标准和规程的要求； （九）有职业危害防治措施，并为作业人员配备符合国家标准或者行业标准的安全防护用具和安全防护服装； （十）有对危险性较大的分部分项工程及施工现场易发生重大事故的部位、环节的预防、监控措施和应急预案； （十一）有生产安全事故应急救援预案、应急救援组织或者应急救援人员，配备必要的应急救援器材、设备； （十二）法律、法规规定的其他条件。
344,single,中,0.2,围护墙侧向土压力监测点按土层分布情况布设时，每层应至少布设 （　　） 测点，且宜布置在各层 （　　） 。,A.1个，端部 / B.2个，两端 / C.2个，中部 / D.1个，中间,C,D,,当按土层分布情况布设时，每层应至少布设1个测点，且布置在各层土的中部；
649,single,中,0.2,配电系统的三部分中， （　　） 是整个配电系统的枢纽。,A.配电装置 / B.配电线路 / C.接地装置 / D.安全装置,A,B,,配电系统主要由配电线路、配电装置和接地装置三部分组成。其中配电线路是整个配电系统的枢纽。
822,multiple,中,0.2,我国涉及施工企业安全生产许可证的法规有 （　　） 。,A.《建筑施工企业安全生产许可证管理规定实施意见》 / B.《中华人民共和国行政许可法》 / C.《上海市建筑施工企业安全生产许可批后监督管理办法》 / D.《安全生产许可证条例》 / E.《建筑施工企业安全生产许可证管理规定》,DE,BDE,,资料： 根据《行政许可法》、《安全生产许可证条例》（国务院令第397号）、《建设工程安全生产管理条例》（国务院令第393号）和《建筑施工企业安全生产许可证管理规定》（部令第128号）等法规及有关规定，现将我厅审核的2025年第21批建筑施工企业安全生产许可证结果予以公告。
1115,multiple,中,0.2,下列关于压缩配电间距规则的选项，正确的包括 （　　） 。,A.压缩配电间距规则中规定关箱与其供电的固定式用电设备的水平距离不宜超过3m / B.压缩配电间距规则中规定分配电箱与开关箱的距离不得超过30m / C.分配电箱应设在用电设备或负荷相对分散的场所 / D.压缩配电间距规则是指除总配电箱，配电室(配电柜)外，分配电箱与开关箱之间，开关箱与用电设备之间的空间间距应尽量伸长 / E.实行一机一闸,AB,ABE,,压缩配电间距 压缩配电间距原则是指各配电箱、 开关箱之间的距离应尽量缩短。 总配电箱应设在靠近电源的区域， 分配电箱应设在用电设备或负荷相对集中的区域， 分配电箱与开关箱的距离不得超过 30m ，开关箱与其控制的固定式用电设备的水平距离不宜超过3m 。
1165,multiple,中,0.2,专项施工方案中以单位工程编制的包括 （　　） 等内容。,A.基坑支护 / B.消防平面布置图 / C.起重吊装 / D.拆除施工 / E.模板工程及支撑,ACD,ACDE,,专项施工方案：基坑支护、降水、土方开挖、模板工程及支撑、脚手架搭设（悬挑、落地）、起重设备安装拆卸方案、 卸料平台（悬挑式钢平台）、起重吊装、拆除施工、以上以单位工程编制，施工临时用电可以单项工程编制、现场平面布置图、安全警示标志平面布置图、消防平面布置图、临时用电平面布置图及其他，开工前要求技术员编制完成。
580,single,中,0.22,装配整体式混凝土结构中特殊结构或必要的外墙板构件安装可选用 （　　） 作为安全防护。,A.围挡 / B.全防护操作架 / C.落地脚手架 / D.局部脚手架,B,C,,装配整体式混凝土结构施工宜采用围挡或外防护架，特殊结构或必要的外墙板构件安装可选用落地式脚手架。
326,single,低,0.25,下列关于钻孔咬合桩施工说法正确的是 （　　） 。,A.桩顶应设导墙，导墙的厚度宜取0.3~0.5m / B.桩顶应设置导墙，导墙宽度宜取2m / C.钢筋混凝土桩应在素混凝土桩终凝前，通过成孔时切割部分素混凝土桩身形成与素混凝土桩的互相咬合 / D.抓斗在套管内取土时，套管底部应始终位于抓土面上方，且抓土面与套管低的距离应大于2m,C,A,,钻孔咬合桩施工可采用液压钢套管全长护壁、机械冲抓成孔工艺，其施工应符合下列要求： （1）桩顶应设置导墙，导墙宽度宜取3m～4m，导墙厚度宜取0.3m～0.5m； （2）咬合桩应按先施工素混凝土桩、后施工钢筋混凝土桩的顺序进行；钢筋混凝土桩应在素混凝土桩初凝前通过在成孔时切割部分素混凝土桩身形成与素混凝土桩的互相咬合搭接；钢筋混凝土桩的施工尚应避免素混凝土桩刚浇筑后被切割； （3）钻机就位及吊设第一节套管时，应采用两个测斜仪贴附在套管外壁并用经纬仪复核套管垂直度，其垂直度允许偏差应为3‰。液压套管应正反扭动加压下切。管内抓斗取土时，套管底部应始终位于抓土面下方，抓土面与套管底的距离应大于1.0m； （4）孔内虚土和沉渣应清除干净，并用抓斗夯实孔底；灌注混凝土时，套管应随混凝土浇筑逐段拔；套管应垂直提拔，阻力过大时应转动套管同时缓慢提拔。
415,single,低,0.25,以下不属于格构式防坠装置的类别是 （　　） 。,A.摆块式 / B.转轮式 / C.摩擦式 / D.顶撑式,D,C,,"防坠装置分为格构式和摩擦式,格构式分为摆块式、转轮式和顶撑式。"
883,multiple,低,0.25,根据《关于上海市建筑施工特种作业人员考核和持证上岗管理工作的实施意见》的规定，必须通过定点强化培训经考试后方可上岗的情况除了 （　　） 。,A.连续一年内有2次违章记录的 / B.连续一年内有3次违章记录的 / C.因违章操作，导致发生财产损失事故的 / D.因违章操作，导致发生人员伤亡事故的 / E.因违章操作，导致发生人员重大伤亡事故的,A,BE,,【注意题目内容，是除了】 （三）有下列情况之一的，必须通过定点强化培训经考试后方可上岗： 1、连续一年内有2次违章记录的； 2、因违章操作，导致发生财产损失事故的； 3、因违章操作，导致发生人员伤亡事故的；
1002,multiple,低,0.25,以下关于喷射井点施工说法错误的是 （　　） 。,A.井管采用金属管，管壁上渗水孔宜按梅花状布置 / B.井点管水平间距一般为2~3m / C.井点管直径宜为100~150mm / D.成孔孔径不应小于300mm，成孔深度应大于过滤器底端埋深1.0m。 / E.每根喷射井点沉设完毕后，必须及时进行单井试抽，试抽持续到水由浊变清为止,BD,BCD,,喷射井点施工 （1）井点管直径宜为75mm～100mm，井点管水平间距宜为2.0～4.0m。 （2）成孔孔径不应小于400mm，成孔深度应大于过滤器底端埋深1.0m。 （3）回填滤料应符合规定。 （4）每套喷射井点的井点数不宜超过30根，总管直径不宜小于为150mm，总长不宜超过60.0m。如果多套井点呈环圈布置，各套进水总管之间宜用阀门隔开，每套井点自成系统。 （5）每根喷射井点沉设完毕后，必须及时进行单井试抽，排出的浑浊水不得回入循环管路系统，试抽时间持续到水由浊变清为止。 （6）喷射井点系统安装完毕，亦需进行试抽，不应有漏气或翻砂冒水现象。工作水应保持清洁，在降水过程中应视水质浑浊程度及时更换。 补充： 3.10 真空井点的构造应符合下列要求： 1）井管宜采用金属管，管壁上渗水孔宜按梅花状布置，渗水孔直径宜取12mm～18mm，渗水孔的孔隙率应大于15%，渗水段长度应大于1.0m；管壁外应根据土层的粒径设置滤网；
1181,multiple,低,0.25,应该设置疏散指示标志灯的地方包括 （　　） 等。,A.疏散走道 / B.疏散走道的交叉口 / C.疏散走道的拐弯处 / D.楼梯 / E.安全出口,ABCDE,ABCE,,疏散通道及其交叉口、拐弯处、安全出口处应设置疏散指示标志灯。
1804,judge,低,0.25,装配式混凝土建筑预制构件吊装作业，临时固定措施按设计方案设置，安全可靠。,A.正确 / B.错误,A,B,,"临时固定措施按施工方案设置,安全可靠;"
242,single,低,0.27,在建设工程领域中最常见的职业伤害事故共有7类。下列选项中 （　　） 不属于建设工程领域中最常见的职业伤害事故。,A.灼烫 / B.物体打击 / C.中毒 / D.火灾,C,A,,在建设工程领域中最常见的是高处坠落、物体打击、机械伤害、触电、坍塌、中毒、火灾7类。
450,single,低,0.27,玻璃幕墙施工中，同层横梁的标高偏差，当幕墙宽度大于35m时，不应大于 （　　） mm，同一层横梁在安装时应由上而下进行。,A.4 / B.5 / C.6 / D.7,B,D,,"对于一幅玻璃幕墙的宽度小于或等于35m时,同层横梁的标高允许偏差,不应大于5mm;当一幅幕墙宽度大于35m时,不应大于7mm。"
812,multiple,低,0.29,"全国安全生产专项整治三年行动计划》，在专题实施方案中，把企业落实主体责任的要求概括为四个体系，即 （　　） ,体现“齐抓共管”的思路。",A.企业主体责任体系 / B.规范化安全管理体系 / C.安全管理体系 / D.社会化服务体系 / E.安全预防控制体系,ACDE,ABDE,,在该专题实施方案中，把企业落实主体责任的要求概括为以下四个体系，即企业主体责任体系、规范化安全管理体系、安全预防控制体系、社会化服务体系，充分体现了一直强调的“齐抓共管”思路。
1041,multiple,低,0.29,大跨度及厂房钢结构工程安全要点中，对当天作业存在的 （　　） 进行交代。,A.危险源 / B.危险点 / C.框架桁架的动火点监控 / D.土建施工路线对吊车的影响 / E.下方行人路线的注意避让,ABCE,ABCDE,,大跨度及厂房钢结构工程的安全要点包括对当天作业存在的危险源和危险点进行交代；对框架桁架的动火点进行监控；考虑土建施工路线对吊车的影响；以及注意下方行人路线的避让。
1171,multiple,低,0.29,消防安全管理制度的消防安全教育与培训制度包括 （　　） 等内容。,A.施工现场消防安全管理制度 / B.报火警、接警的程序和方法 / C.可燃及易燃易爆危险品管理制度 / D.用火用电用气管理制度 / E.应急预案演练制度,ABCDE,ABE,,消防安全教育和培训应包括下列内容： 1 施工现场消防安全管理制度、防火技术方案、灭火及应急疏散预案的主要内容。 2 施工现场临时消防设施的性能及使用、维护方法。 3 扑灭初起火灾及自救逃生的知识和技能。 4 报警、接警的程序和方法。
1185,multiple,低,0.29,锅炉烟道和烟囱与可燃物应保持一定的距离，下列说法正确的是 （　　） 。,A.金属烟囱距可燃结构不小于100cm / B.金属烟囱距已做防火保护层的可燃结构不小于100cm / C.未采取消烟除尘措施的锅炉，其烟囱应设防火星帽 / D.砖砌的烟囱和烟道其内表面距可燃结构不小于10cm / E.砖砌的烟囱和烟道其外表面距可燃结构不小于10cm,BCDE,ACE,,锅炉烟道和烟囱与可燃构件应保持一定的距离。金属烟囱距可燃结构不小于100cm;已做防火保护层的可燃结构不小于 70cm;砖砌的烟肉和烟道其内表面距可燃结构不小于50cm，其外表面不小于 10cm。 未采取消烟除尘措施的锅炉，其烟肉应设防火星帽。
970,multiple,低,0.3,依据《建筑起重机械安全监督管理规定》，施工总承包单位应当履行安全职责，其中包括 （　　） 。,A.审核安装单位制定的建筑起重机械安装、拆卸工程方案 / B.审核安装单位制定的生产安全事故应急救援预案 / C.审核安装单位的资质证书 / D.审核特种作业人员的特种作业操作资格证书 / E.审核使用单位的资质证书,ABCD,ABCDE,,第二十一条 施工总承包单位应当履行下列安全职责： （一）向安装单位提供拟安装设备位置的基础施工资料，确保建筑起重机械进场安装、拆卸所需的施工条件； （二）审核建筑起重机械的特种设备制造许可证、产品合格证、制造监督检验证明、备案证明等文件； （三）审核安装单位、使用单位的资质证书、安全生产许可证和特种作业人员的特种作业操作资格证书； （四）审核安装单位制定的建筑起重机械安装、拆卸工程专项施工方案和生产安全事故应急救援预案； （五）审核使用单位制定的建筑起重机械生产安全事故应急救援预案； （六）指定专职安全生产管理人员监督检查建筑起重机械安装、拆卸、使用情况； （七）施工现场有多台塔式起重机作业时，应当组织制定并实施防止塔式起重机相互碰撞的安全措施。
75,single,低,0.33,建筑工程办理安全备案手续需要的材料中，不包括 （　　） 。,A.工程中标通知书 / B.项目经理安全生产能力考核证书 / C.安全A类人员证书 / D.安全技术措施方案,D,C,,建筑工程安全备案需要的材料：工程中标通知书、项目经理安全生产能力考核证书、安全技术措施方案、安全生产许可证、安全C类人员证书等。
181,single,低,0.33,根据《上海市消防条例》规定，消防安全重点单位应当至少 （　　） 进行消防演练。,A.每月一次 / B.每季度一次 / C.每年一次 / D.每年二次,C,D,,消防安全重点单位应当每年进行至少两次消防演练。
618,single,低,0.33,高空作业车的调平机构应保证工作平台在任一工作位置均处于水平状态，工作平台底面与水平面的夹角应不大于 （　　） 。,A.5° / B.7° / C.10° / D.15°,D,A,,作业车的调平机构应保证工作平台在任一工作位置均处于水平状态，工作平台底面与水平面的夹角应不大于5°，调平过程必须平稳、可靠，不得出现振颤、冲击、打滑等现象。
882,multiple,低,0.33,根据《关于进一步加强本市建筑起重机械监督管理的通知》的规定，本市建筑起重机械的设备备案包括 （　　） 。,A.产权备案 / B.进沪备案 / C.过户备案 / D.变更备案 / E.离沪备案,ACD,ABC,,本市建筑起重机械的设备备案包括：产权备案、过户备案、进沪备案，由上海市建设安全协会（以下简称安全协会）负责具体实施。
1138,multiple,低,0.33,架空线路的组成一般包括 （　　） 。,A.导线 / B.绝缘导线 / C.绝缘子 / D.横担 / E.电杆,ACDE,BCDE,,架空线路一般包括四部分，即电杆、横担、绝缘子和绝缘导线。如采纳绝缘横担，则架空线路可由电杆、绝缘横担、绝缘线三部分组成。
1144,multiple,低,0.33,文明施工包括了一般项目和保证项目，以下属于保证项目的有 （　　） 。,A.现场围挡 / B.封闭管理 / C.公示标牌 / D.生活设施 / E.材料管理,AB,ABE,,文明施工 一般项目:综合治理、公示标牌、生活设施、社区服务。 保证项目:现场围挡、封闭管理、施工场地、材料管理、现场办公与住宿、现场防火。
103,single,低,0.38,根据《建筑施工安全生产标准化考评暂行办法》规定，建筑施工企业在办理安全生产许可证延期时，应当向 （　　） 提交企业自评材料。,A.县级及以上住房城乡建设主管部门 / B.项目所在地安全管理部门 / C.企业考评主体 / D.行业考评主体,A,C,,第二十五条 建筑施工企业在办理安全生产许可证延期时，应当向企业考评主体提交企业自评材料。
790,single,低,0.38,某一在建工地上有施工设备遭到雷击，导致现场4名施工人员受伤。施工现场内的金属机械设备，当在相关装置的保护范围以外时，应按相关规定安装 （　　） 。,A.放电装置 / B.防雷装置 / C.避雷针 / D.避雷装置,D,B,,施工现场内的金属机械设备，当在相关装置（如防雷接地装置、接闪器）的保护范围以外时，应按相关规定安装 防雷装置。
873,multiple,低,0.38,根据《上海市危险性较大的分部分项工程专家论证管理办法》，方案由施工企业自行组织论证的，论证档案由 （　　） 留存备查。,A.设计单位 / B.建设单位 / C.施工单位 / D.监理单位 / E.监督机构,BCD,CD,,方案由机构论证的，论证档案由论证机构和施工企业、监理单位分别留存；方案由施工企业自行组织论证的，论证档案由施工企业和监理单位留存备查。
1179,multiple,低,0.38,地下工程施工的防火要求包括：安全出入口、疏散走道和楼梯的宽度应按 （　　） 的净宽计算。,A.不小于1m / B.不小于2m / C.其通过人数每100人不小于1m / D.其通过人数每100人不小于2m / E.每个出入口的疏散人数不宜超过200人,C,AC,,安全出口、疏散通道和楼梯的宽度应按其通过人数每100人不小于1m的净宽计算。
